yeduc,income
9,100
9,50
9,150
9,200
9,150
9,200
9,100
9,100
9,150
9,150
9,256.25
9,6.25
9,106.25
9,6.25
9,156.25
9,225
9,125
9,100
9,200
9,50
9,100
9,150
9,150
9,200
9,50
9,250
9,250
9,100
9,350
9,300
9,300
9,300
9,100
9,150
9,150
9,100
9,106.25
9,100
9,350
9,150
9,175
9,250
9,250
9,250
9,250
9,300
9,200
9,250
9,250
9,200
9,350
9,350
9,350
9,300
9,300
9,350
9,300
9,400
9,300
9,450
9,350
9,400
9,350
9,400
11,150
11,50
11,250
11,100
11,200
11,150
11,25
11,106.25
11,56.25
11,6.25
11,156.25
11,125
11,225
11,125
11,50
11,225
11,75
11,225
11,300
11,250
11,100
11,150
11,250
11,300
11,200
11,75
11,150
11,300
11,50
11,56.25
11,75
11,250
11,150
11,250
11,100
11,200
11,106.25
11,200
11,106.25
11,250
11,200
11,250
11,100
11,250
11,250
11,250
11,350
11,200
11,350
11,200
11,200
11,125
11,850
11,300
11,400
11,350
11,175
11,350
11,350
11,300
11,250
11,200
11,250
11,250
11,200
11,350
11,300
11,200
11,200
11,300
11,250
11,300
11,200
11,200
11,200
11,200
11,250
11,350
11,350
11,400
11,450
11,250
11,300
11,350
11,350
11,950
11,250
11,250
11,500
11,400
11,350
11,275
11,400
11,300
11,1375
11,850
11,1275
12,150
12,150
12,150
12,150
12,25
12,50
12,350
12,150
12,100
12,350
12,25
12,200
12,100
12,200
12,50
12,150
12,200
12,50
12,50
12,50
12,250
12,200
12,25
12,200
12,100
12,200
12,100
12,100
12,150
12,50
12,250
12,150
12,100
12,250
12,150
12,100
12,50
12,100
12,150
12,200
12,200
12,100
12,200
12,100
12,50
12,250
12,250
12,250
12,250
12,100
12,150
12,350
12,6.25
12,25
12,50
12,50
12,50
12,100
12,100
12,250
12,200
12,250
12,100
12,100
12,50
12,200
12,200
12,100
12,250
12,50
12,150
12,6.25
12,200
12,250
12,150
12,250
12,150
12,6.25
12,50
12,200
12,200
12,150
12,25
12,250
12,25
12,50
12,200
12,200
12,100
12,100
12,100
12,100
12,200
12,50
12,25
12,100
12,6.25
12,100
12,25
12,250
12,200
12,6.25
12,25
12,100
12,250
12,200
12,150
12,200
12,25
12,150
12,50
12,250
12,350
12,100
12,350
12,100
12,150
12,500
12,150
12,100
12,150
12,150
12,50
12,50
12,25
12,25
12,50
12,100
12,6.25
12,150
12,150
12,150
12,350
12,250
12,200
12,150
12,6.25
12,50
12,25
12,200
12,200
12,150
12,50
12,150
12,150
12,50
12,100
12,56.25
12,12.5
12,506.25
12,6.25
12,206.25
12,156.25
12,256.25
12,156.25
12,6.25
12,56.25
12,12.5
12,156.25
12,12.5
12,756.25
12,6.25
12,156.25
12,156.25
12,56.25
12,256.25
12,256.25
12,106.25
12,6.25
12,56.25
12,156.25
12,106.25
12,106.25
12,6.25
12,12.5
12,206.25
12,106.25
12,106.25
12,206.25
12,56.25
12,6.25
12,156.25
12,106.25
12,256.25
12,6.25
12,206.25
12,206.25
12,31.25
12,206.25
12,12.5
12,106.25
12,31.25
12,256.25
12,6.25
12,256.25
12,206.25
12,56.25
12,6.25
12,56.25
12,206.25
12,206.25
12,56.25
12,156.25
12,6.25
12,56.25
12,56.25
12,56.25
12,156.25
12,106.25
12,56.25
12,156.25
12,356.25
12,275
12,225
12,125
12,125
12,125
12,375
12,25
12,225
12,50
12,175
12,175
12,225
12,175
12,25
12,375
12,75
12,50
12,175
12,75
12,25
12,31.25
12,175
12,175
12,25
12,50
12,175
12,125
12,225
12,25
12,50
12,25
12,25
12,225
12,175
12,225
12,75
12,75
12,275
12,75
12,225
12,50
12,25
12,175
12,175
12,175
12,225
12,125
12,125
12,75
12,25
12,175
12,25
12,125
12,175
12,125
12,125
12,31.25
12,175
12,31.25
12,25
12,25
12,25
12,225
12,75
12,25
12,125
12,275
12,75
12,100
12,100
12,250
12,200
12,100
12,150
12,150
12,100
12,400
12,200
12,100
12,300
12,100
12,100
12,150
12,200
12,250
12,50
12,100
12,50
12,150
12,300
12,150
12,50
12,100
12,150
12,400
12,150
12,250
12,250
12,300
12,200
12,150
12,200
12,300
12,75
12,150
12,150
12,300
12,250
12,250
12,100
12,300
12,50
12,250
12,200
12,150
12,150
12,400
12,100
12,250
12,150
12,100
12,50
12,200
12,100
12,100
12,50
12,100
12,300
12,100
12,200
12,150
12,75
12,100
12,75
12,200
12,200
12,200
12,250
12,100
12,250
12,100
12,250
12,150
12,50
12,200
12,250
12,300
12,300
12,100
12,150
12,150
12,100
12,250
12,200
12,75
12,250
12,100
12,150
12,150
12,100
12,150
12,150
12,150
12,200
12,200
12,100
12,250
12,50
12,250
12,56.25
12,200
12,150
12,50
12,200
12,150
12,100
12,100
12,200
12,250
12,100
12,250
12,50
12,300
12,300
12,250
12,200
12,300
12,200
12,56.25
12,100
12,50
12,100
12,50
12,100
12,150
12,150
12,300
12,75
12,400
12,50
12,400
12,250
12,200
12,550
12,50
12,100
12,50
12,250
12,100
12,75
12,150
12,300
12,250
12,56.25
12,200
12,150
12,200
12,300
12,300
12,400
12,100
12,50
12,150
12,250
12,75
12,50
12,150
12,100
12,400
12,250
12,150
12,100
12,150
12,75
12,300
12,250
12,100
12,250
12,250
12,50
12,100
12,56.25
12,150
12,100
12,50
12,100
12,250
12,150
12,100
12,100
12,56.25
12,50
12,200
12,75
12,200
12,200
12,200
12,200
12,50
12,50
12,300
12,50
12,250
12,300
12,150
12,400
12,200
12,300
12,56.25
12,150
12,250
12,150
12,250
12,250
12,106.25
12,150
12,350
12,106.25
12,300
12,200
12,350
12,250
12,150
12,250
12,350
12,200
12,100
12,200
12,250
12,100
12,200
12,250
12,250
12,150
12,100
12,125
12,200
12,125
12,150
12,250
12,106.25
12,150
12,250
12,300
12,100
12,200
12,200
12,300
12,300
12,300
12,300
12,350
12,106.25
12,150
12,100
12,300
12,350
12,250
12,450
12,250
12,200
12,100
12,150
12,250
12,200
12,100
12,100
12,100
12,125
12,250
12,250
12,200
12,250
12,350
12,300
12,200
12,300
12,100
12,200
12,250
12,300
12,150
12,250
12,450
12,200
12,200
12,125
12,350
12,100
12,300
12,200
12,350
12,100
12,250
12,450
12,350
12,150
12,250
12,200
12,150
12,200
12,300
12,450
12,150
12,106.25
12,300
12,350
12,250
12,350
12,250
12,300
12,1225
12,150
12,300
12,150
12,150
12,150
12,150
12,300
12,300
12,350
12,100
12,250
12,100
12,250
12,150
12,200
12,200
12,125
12,250
12,150
12,106.25
12,300
12,250
12,200
12,250
12,150
12,125
12,250
12,200
12,150
12,150
12,125
12,200
12,300
12,250
12,150
12,150
12,100
12,250
12,150
12,350
12,250
12,250
12,200
12,150
12,125
12,350
12,200
12,250
12,200
12,125
12,150
12,200
12,200
12,200
12,100
12,300
12,350
12,200
12,300
12,200
12,200
12,300
12,200
12,350
12,200
12,250
12,106.25
12,150
12,150
12,350
12,100
12,200
12,150
12,250
12,250
12,300
12,100
12,350
12,350
12,150
12,300
12,300
12,250
12,450
12,125
12,350
12,100
12,300
12,300
12,150
12,106.25
12,300
12,250
12,200
12,106.25
12,250
12,250
12,125
12,106.25
12,300
12,200
12,125
12,125
12,200
12,150
12,300
12,300
12,300
12,450
12,150
12,150
12,200
12,250
12,106.25
12,106.25
12,106.25
12,100
12,250
12,300
12,100
12,200
12,250
12,150
12,500
12,156.25
12,400
12,175
12,300
12,200
12,200
12,250
12,150
12,156.25
12,150
12,300
12,250
12,250
12,300
12,250
12,250
12,300
12,500
12,200
12,400
12,200
12,200
12,175
12,156.25
12,156.25
12,175
12,156.25
12,350
12,300
12,175
12,150
12,156.25
12,400
12,500
12,250
12,250
12,150
12,400
12,350
12,200
12,200
12,500
12,300
12,650
12,200
12,350
12,400
12,300
12,250
12,150
12,150
12,300
12,250
12,150
12,150
12,300
12,175
12,250
12,300
12,200
12,300
12,300
12,250
12,400
12,400
12,300
12,250
12,200
12,175
12,250
12,300
12,250
12,250
12,350
12,250
12,250
12,250
12,350
12,156.25
12,300
12,150
12,250
12,400
12,175
12,150
12,156.25
12,300
12,500
12,250
12,350
12,300
12,200
12,400
12,200
12,200
12,400
12,175
12,350
12,350
12,200
12,150
12,175
12,300
12,250
12,156.25
12,350
